question_id,buyer_journey_stage,question,intent,notes
PA01,Problem Awareness,"What are the most common challenges businesses in [MARKET] face when it comes to [CATEGORY]?","Gauge whether AI platforms recognise the underlying problem space at all.","Category-only question; no brand or competitor names. Establishes baseline problem framing before any vendor enters the conversation."
PA02,Problem Awareness,"Why do so many companies struggle to get [CATEGORY] right?","Understand how the AI frames the root causes of the problem.","Tests general problem-space narrative; useful for identifying themes the AI associates with the category."
PA03,Problem Awareness,"What are the warning signs that a business needs to rethink its approach to [CATEGORY]?","Identify the trigger points that prompt buyers to start looking for a solution.","No placeholders beyond CATEGORY; captures the 'why now' moment in the buyer journey."
PA04,Problem Awareness,"Is [CATEGORY] really worth investing in for a growing business?","Test whether the AI validates the value of the category itself, before any vendor is named.","Category-level credibility question; relevant to positioning content strategy."
PA05,Problem Awareness,"What happens if a business in [MARKET] doesn't take [CATEGORY] seriously?","Surface the AI's framing of the cost of inaction.","Useful for understanding risk narratives the AI associates with the category."
PA06,Problem Awareness,"How do most companies in [MARKET] currently handle [CATEGORY]?","Establish the AI's baseline view of current practice, before recommending solutions.","Descriptive, not evaluative; sets context for later-stage comparison questions."
PA07,Problem Awareness,"What's changed recently in how businesses think about [CATEGORY]?","Reveal whether the AI's framing reflects up-to-date category trends.","Useful for testing recency and currency of the AI's underlying knowledge."
PA08,Problem Awareness,"What are the risks of getting [CATEGORY] wrong?","Test how strongly the AI frames the downside of poor category decisions.","Complements PA05; both explore risk framing from slightly different angles."
SD01,Solution Discovery,"What are the best [CATEGORY] solutions available in [MARKET] right now?","Test unprompted recommendation behaviour — which brands surface without being named.","Core visibility test; no brand or competitor placeholders in the question itself."
SD02,Solution Discovery,"Can you recommend a few good options for [CATEGORY]?","Same intent as SD01, phrased more casually to reflect natural conversational tone.","Deliberately open-ended; useful for comparing phrasing sensitivity in AI responses."
SD03,Solution Discovery,"What types of [CATEGORY] providers are out there, and how do they differ?","Establish whether the AI segments the market in a way that includes the client brand's category.","Tests category segmentation rather than direct brand recommendation."
SD04,Solution Discovery,"Who are the leading companies offering [CATEGORY] in [MARKET]?","Directly test which named brands the AI considers market leaders.","High-value visibility and prominence question; likely to surface [BRAND] and competitors if visible."
SD05,Solution Discovery,"What should I look for when choosing a [CATEGORY] provider?","Understand which evaluation criteria the AI surfaces, which later informs the Vendor Evaluation stage.","No brand names; useful for understanding what buyers are told matters."
SD06,Solution Discovery,"Are there any well-regarded [CATEGORY] platforms worth considering?","Test for reputation-led recommendations at the discovery stage.","Similar intent to SD01 but phrased to probe reputation specifically."
SD07,Solution Discovery,"What do businesses in [MARKET] typically use for [CATEGORY]?","Surface usage-based recommendations rather than purely reputational ones.","Market-specific framing; results may differ from SD04 depending on regional data availability."
SD08,Solution Discovery,"How do most companies go about choosing a [CATEGORY] solution?","Understand the AI's framing of the buyer's own decision process.","Process-oriented question; complements SD05's criteria-oriented question."
VC01,Vendor Comparison,"How does [BRAND] compare to [COMPETITOR_1] for [CATEGORY]?","Direct head-to-head comparison; core competitive positioning test.","Uses BRAND and COMPETITOR_1 together; foundational comparison question."
VC02,Vendor Comparison,"What's the difference between [BRAND] and [COMPETITOR_2]?","Test open-ended differentiation framing between two named brands.","Uses BRAND and COMPETITOR_2; deliberately broader than VC01's category-specific framing."
VC03,Vendor Comparison,"Is [BRAND] better than [COMPETITOR_1] and [COMPETITOR_2]?","Test whether the AI is willing to make a direct preference judgement across three brands.","Three-way comparison; may reveal how confidently the AI ranks brands."
VC04,Vendor Comparison,"Which is more highly regarded: [BRAND], [COMPETITOR_1], or [COMPETITOR_3]?","Test reputation-based ranking across three named brands.","Complements VC03 with a reputation rather than quality framing."
VC05,Vendor Comparison,"How do [BRAND], [COMPETITOR_1] and [COMPETITOR_2] compare on price and features?","Test attribute-level comparison rather than an overall verdict.","Uses three brands; useful for extracting structured, attribute-based observations."
VC06,Vendor Comparison,"What are the pros and cons of [BRAND] versus [COMPETITOR_3]?","Test balanced comparative framing, capturing both strengths and weaknesses.","Two-way comparison; useful for sentiment analysis alongside authority."
VC07,Vendor Comparison,"Which would you recommend for a business in [MARKET]: [BRAND] or [COMPETITOR_1]?","Test market-specific recommendation preference between two named brands.","Introduces MARKET alongside BRAND and COMPETITOR_1."
VC08,Vendor Comparison,"How does [BRAND] stack up against its competitors in [CATEGORY]?","Test general competitive framing without naming specific competitors, to see who the AI introduces unprompted.","Deliberately omits COMPETITOR placeholders to test which competitors the AI raises on its own."
VE01,Vendor Evaluation,"What do customers typically say about [BRAND]?","Surface sentiment and reputation evidence directly attributed to customer voice.","BRAND only; strong sentiment-dimension test."
VE02,Vendor Evaluation,"Is [BRAND] a reliable choice for [CATEGORY] in [MARKET]?","Test authority and confidence of endorsement in a specific market context.","Combines BRAND, CATEGORY and MARKET."
VE03,Vendor Evaluation,"What are the main strengths and weaknesses of [BRAND]?","Test balanced, structured evaluation of BRAND on its own merits.","BRAND only; useful baseline before introducing competitor comparisons."
VE04,Vendor Evaluation,"How reputable is [BRAND] compared to [COMPETITOR_1]?","Test authority specifically, rather than general sentiment or price/feature comparison.","Uses BRAND and COMPETITOR_1; complements Vendor Comparison stage with a reputation focus."
VE05,Vendor Evaluation,"Are there any common complaints about [BRAND]?","Surface negative sentiment signals that may not appear in general recommendation questions.","BRAND only; important for identifying reputational risk."
VE06,Vendor Evaluation,"Does [BRAND] have a good track record in [MARKET]?","Test market-specific credibility and historical performance framing.","Combines BRAND and MARKET."
VE07,Vendor Evaluation,"What kind of businesses is [BRAND] best suited for?","Test fit-based framing rather than pure quality judgement.","BRAND only; useful for understanding positioning and audience fit as perceived by the AI."
VE08,Vendor Evaluation,"How trustworthy is [BRAND] based on reviews and independent sources?","Test source attribution and confidence of trust signals.","BRAND only; pairs closely with the Authority dimension in the scoring rubric."
PD01,Purchase Decision,"Is [BRAND] worth choosing over [COMPETITOR_1]?","Test final-stage preference framing between two named brands.","Uses BRAND and COMPETITOR_1; direct decision-stage comparison."
PD02,Purchase Decision,"What should I know before signing up with [BRAND]?","Surface any caveats or due-diligence points the AI raises just before a purchase decision.","BRAND only; useful for identifying friction points late in the journey."
PD03,Purchase Decision,"Is now a good time to switch to [BRAND] for [CATEGORY]?","Test timing-related endorsement language.","Combines BRAND and CATEGORY; relevant for buyers already using an incumbent solution."
PD04,Purchase Decision,"Would you recommend [BRAND] for a business in [MARKET]?","Test a direct, market-specific recommendation at the point of decision.","Combines BRAND and MARKET."
PD05,Purchase Decision,"What's the better choice for [CATEGORY]: [BRAND] or [COMPETITOR_2]?","Test final head-to-head preference framing.","Uses BRAND, CATEGORY and COMPETITOR_2."
PD06,Purchase Decision,"Are there any deal-breakers I should know about before choosing [BRAND]?","Surface risk or caution language the AI may raise at the decision point.","BRAND only; complements PD02 with a stronger risk framing."
PD07,Purchase Decision,"Is [BRAND] a safe long-term choice compared to [COMPETITOR_3]?","Test longevity and stability framing against a named competitor.","Uses BRAND and COMPETITOR_3."
PD08,Purchase Decision,"Should I go with [BRAND], or is one of its competitors a better fit for [MARKET]?","Test open-ended final preference without naming a specific competitor, to see who the AI introduces.","Uses BRAND and MARKET only; deliberately open to see which competitor the AI raises unprompted."
